FIRST,SECOND,THIRD,FOURTH,FIFTH,NEAR_FIRST,TWO,THREE
778584,133134,039111,002133,004495,778583,07,164
838739,468424,106962,032265,034106,778585,54,403
769925,509756,243210,044600,049904,838738,56,811
277859,515202,572025,075557,067124,838740,95,971
742425,640052,672933,095795,069215,769924,61,263
876763,004887,747619,109439,070092,769926,85,293
622780,218489,783856,110810,100878,277858,93,803
405105,373187,788562,112031,102543,277860,63,845
430374,716200,883417,126449,129948,742424,81,239
232897,801651,949422,127436,132951,742426,25,287
836393,200035,021468,127527,139652,876762,05,865
393194,307893,064366,157152,148659,876764,41,893
565151,308306,124898,169222,158191,622779,76,384
527384,443978,384183,187299,169092,622781,77,607
429924,988149,439238,198514,178870,405104,29,625
476207,051060,541155,213242,189115,405106,93,979
331810,317491,699504,222038,191825,430373,69,294
499336,344177,712601,264843,201127,430375,45,801
430667,569792,736999,305297,203872,232896,76,942
032988,814070,889802,310318,224131,232898,48,949
927907,179586,002429,356486,228417,836392,88,001
562481,181690,147841,386925,230865,836394,73,191
113410,243014,210670,396818,242039,393193,18,350
513501,295266,297280,418273,242762,393195,96,906
595411,789975,391320,434194,250155,565150,81,022
556010,221724,452331,538756,288678,565152,81,677
212684,404624,542575,606060,306411,527383,26,794
137054,469395,661297,608167,313144,527385,80,814
936685,622271,704579,613879,314042,429923,05,013
074946,817752,980846,667721,321908,429925,33,522
012653,025178,152712,683160,323772,476206,71,866
982800,373795,155239,689045,332255,476208,64,987
453011,449880,167088,690297,334385,331809,62,442
329231,633699,209011,738817,360469,331811,69,553
414875,803757,257525,758710,361908,499335,35,729
729111,054508,269286,770442,369027,499337,75,881
943671,376717,450353,789377,371207,430666,50,585
257374,519066,471419,829263,386380,430668,41,751
850348,523980,753351,853486,388597,103298,11,858
380377,532325,759844,864513,389859,032989,36,924
695993,026826,064679,867786,398164,192790,09,242
012377,233858,105754,872541,398995,927908,56,433
882911,552009,180873,896727,409554,156248,67,523
431277,655370,243084,915911,412334,562482,98,739
272028,771637,276352,929384,432868,113409,76,424
002612,038262,781615,945876,448126,113411,20,589
205434,258743,961869,947445,463860,151350,05,907
074114,804596,989162,965430,476405,513502,25,989
218596,979170,993038,981194,496238,159541,22,146
743212,994298,995619,982009,512379,595412,25,287
534533,077220,167912,017111,512864,556011,69,638
038730,257992,336676,041483,517389,556009,93,949
553091,307518,387797,064576,524471,212683,67,105
268812,347241,491709,094259,524612,212685,36,183
